manifest_id,intent,eval_subtype,aoi_ids,start_year,end_year,start_date,end_date,canopy_cover,forest_filter,intersections,crop_types,gas_types,land_cover_classes,date_expression,expected_language,phrasing,n_cases,judge_note,notes,evaluators
m-gain-quant-01,quantification,gain_total,BRA,2000,2020,,,,,,,,,absolute_range,en,direct,2,"Cumulative tree cover gain over the full 2000-2020 period; the headline is the cumulative gain area in hectares. Gain is not restoration; the answer must avoid the term 'restoration'. Do not combine gain with tree cover loss to compute net change.","x-axis: raw cumulative period label",
m-gain-quant-02,quantification,gain_total,IDN,2000,2020,,,,,,,,,absolute_range,en,conversational,1,"Cumulative gain over the full 2000-2020 period; headline is the cumulative gain area (ha). Gain is not restoration.",,
m-gain-quant-03,quantification,period_gain,COD,2015,2020,,,,,,,,,absolute_range,en,direct,1,"Cumulative gain over the 2015-2020 period; headline is that cumulative gain area (ha). Do not decompose the period into sub-intervals; gain is not restoration.","x-axis: raw cumulative period label",
m-gain-quant-04,quantification,period_gain,COL,2010,2020,,,,,,,,,absolute_range,en,direct,1,"Cumulative gain over the 2010-2020 period (ha). Do not decompose into sub-intervals; gain is not restoration.",,
m-gain-quant-05,quantification,period_gain,PER,2005,2020,,,,,,,,,absolute_range,en,conversational,1,"Cumulative gain over the 2005-2020 period (ha). Do not decompose into sub-intervals; gain is not restoration.",,
m-gain-quant-06,quantification,gain_total,MYS,2000,2020,,,,,,,,,absolute_range,en,imprecise,2,"Cumulative gain over the full 2000-2020 period (ha). Gain is not restoration; avoid the term 'restoration'.",,
m-gain-quant-07,quantification,period_gain,CRI,2015,2020,,,,,,,,,absolute_range,en,direct,1,"Cumulative gain over the 2015-2020 period (ha); values are small but the figure must match ground truth. Gain is not restoration.",near-zero AOI,
m-gain-quant-08,quantification,period_gain,GHA,2005,2020,,,,,,,,,absolute_range,en,imprecise,1,"Cumulative gain over the 2005-2020 period (ha). Do not decompose; gain is not restoration.",,
m-gain-quant-09,quantification,gain_total,MEX,2000,2020,,,,,,,,,absolute_range,en,direct,1,"Cumulative gain over the full 2000-2020 period (ha). Gain is not restoration.",,
m-gain-quant-10,quantification,period_gain,IND,2010,2020,,,,,,,,,absolute_range,en,conversational,1,"Cumulative gain over the 2010-2020 period (ha). Do not decompose; gain is not restoration.",,
