manifest_id,intent,eval_subtype,aoi_ids,start_year,end_year,canopy_cover,forest_filter,intersections,date_expression,expected_language,phrasing,n_cases,judge_note,notes,evaluators
m-tcl-trend-01,trend,direction,BRA,2015,2023,30,,,absolute_range,en,direct,2,"The user asked across all forest types, so no forest-type filter should be applied.",,
m-tcl-trend-02,trend,direction,IDN,2016,2023,30,,,absolute_range,en,direct,1,"The user asked across all forest types, so no forest-type filter should be applied.",,
m-tcl-trend-03,trend,direction,COD,2015,2023,30,primary_forest,,absolute_range,en,direct,1,,,
m-tcl-trend-04,trend,peak_year,BRA,2011,2023,30,,,absolute_range,en,direct,2,,,
m-tcl-trend-05,trend,peak_year,COD,2011,2023,30,,,absolute_range,en,direct,2,,,
m-tcl-trend-06,trend,peak_year,GBR,2001,2023,30,,,absolute_range,en,direct,1,The window crosses the 2011 methodology break; a caution caveat about the break is acceptable and must not be penalised.,break_crossing,
m-tcl-trend-07,trend,change_over_period,IDN,2016,2023,30,,,absolute_range,en,direct,2,,,
m-tcl-trend-08,trend,change_over_period,CRI,2013,2023,30,,,absolute_range,en,direct,1,,,
m-tcl-trend-09,trend,direction,CRI,2013,2023,30,,,absolute_range,en,conversational,2,,,
m-tcl-trend-10,trend,direction,GBR,2011,2023,30,,,absolute_range,en,imprecise,2,Values are small; a description of a weak or noisy trend passes only if the series supports it.,near-zero AOI,
m-tcl-trend-11,trend,direction,IDN,2016,2023,30,primary_forest,,absolute_range,en,direct,2,,,
m-tcl-trend-12,trend,peak_year,IDN,2011,2023,30,,,absolute_range,en,direct,2,,,
m-tcl-trend-13,trend,peak_year,CRI,2011,2023,30,,,absolute_range,en,conversational,2,,,
m-tcl-trend-14,trend,change_over_period,BRA,2011,2023,30,,,absolute_range,en,direct,2,,,
m-tcl-trend-15,trend,change_over_period,COD,2013,2023,30,,,absolute_range,en,conversational,2,,,
m-tcl-trend-16,trend,change_over_period,IDN,2016,2023,30,,,absolute_range,en,direct,2,The question asks how GHG emissions from tree cover loss changed; use the carbon_emissions_MgCO2e column for direction and any figures.,emissions trend,
